,SMILES,MOL WEIGHT,VDW VOL,MOLAR VOL,DENSITY,SOLUBILITY,COH ENERGY,GLASS TEMP,HEAT CAP,IND REFRACTION
204,COCC1CO1,88.11,45.1,80.5,1.09,18.8,28.3,210.0,183.0,1.46
205,C1COCO1,74.08,34.8,63.5,1.17,20.1,25.7,211.0,157.0,1.47
207,C1C(CO1)(CCl)CCl,155.02,69.9,113.0,1.37,19.8,44.0,283.0,177.0,1.54
208,CC=C.[C-]#[O+],70.09,42.1,63.1,1.11,21.5,29.3,312.0,98.0,1.49
209,Oc1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,324.36,156.43,244.1,1.33,23.5,135.2,487.0,330.0,1.63
210,Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,400.45,202.01,313.6,1.28,22.7,161.5,482.0,410.0,1.64
211,CCCCCCOCC1CO1,158.24,96.5,161.0,0.98,17.8,51.0,199.0,334.0,1.47
212,C=CC(=O)OCCO,116.12,58.8,88.4,1.31,25.5,,271.0,221.0,1.51
213,CC(COC(=O)C(=C)C)O,144.17,79.3,120.8,1.19,22.4,60.7,341.0,200.5,1.5
214,OCCOCCOCCOCCO.O=C=NCCCCCCN=C=O,362.42,192.4,300.0,2.21,22.8,156.0,262.0,745.0,1.51
215,OCCCCO.O=C=Nc1ccc(cc1)Cc1ccc(cc1)N=C=O,340.38,185.11,275.7,1.23,23.5,152.4,369.0,575.0,1.57
216,CC(=C)C(=O)N,85.11,48.9,75.0,1.14,23.3,40.8,483.0,119.5,
217,CCCCCCOC(=O)CC(=C)C(=O)OCCCCCC,298.4,184.4,284.0,1.05,18.2,86.5,269.0,475.0,
218,Brc1ccc(cc1)Br.C=C,102.14,63.7,95.2,1.07,19.2,35.2,316.0,120.2,1.65
219,C1Cc2ccc(cc2)CCc2ccc1cc2,104.15,66.13,100.5,1.04,19.1,36.6,333.0,132.0,1.59
220,C=CN1CCCC1=O,111.14,59.8,83.9,1.32,24.3,49.6,455.0,139.0,1.54
221,C=CSc1ccccc1,136.22,76.21,117.0,1.16,19.9,46.4,398.0,152.0,1.65
222,CCCSC=C,102.2,61.3,99.9,1.02,17.6,31.0,253.0,195.0,1.54
